"gene_type"	"gene_name"
"protein_coding"	"ETHE1"
"protein_coding"	"ZNF575"
"protein_coding"	"XRCC1"
"lncRNA"	"L34079.2"
"lncRNA"	"L34079.3"
"protein_coding"	"PINLYP"
"protein_coding"	"IRGQ"
"protein_coding"	"ZNF576"
"protein_coding"	"SRRM5"
"protein_coding"	"ZNF428"
"protein_coding"	"CADM4"
"protein_coding"	"PLAUR"
"protein_coding"	"IRGC"
"protein_coding"	"SMG9"
"protein_coding"	"KCNN4"
"protein_coding"	"LYPD5"
"lncRNA"	"AC115522.1"
"protein_coding"	"ZNF283"
"protein_coding"	"ZNF404"
"lncRNA"	"AC006213.2"
"lncRNA"	"AC006213.7"
"lncRNA"	"AC006213.3"
"protein_coding"	"ZNF45"
"protein_coding"	"ZNF221"
"protein_coding"	"ZNF155"
"lncRNA"	"AC006213.4"
"lncRNA"	"AC006213.5"
"lncRNA"	"AC006213.1"
"protein_coding"	"ZNF230"
"lncRNA"	"AC067968.2"
"protein_coding"	"ZNF222"
"protein_coding"	"ZNF223"
"protein_coding"	"ZNF284"
"protein_coding"	"ZNF224"
"lncRNA"	"AC021092.1"
"protein_coding"	"ZNF225"
"protein_coding"	"ZNF234"
"lncRNA"	"AC138470.2"
"protein_coding"	"ZNF226"
"protein_coding"	"ZNF227"
"protein_coding"	"ZNF235"
"protein_coding"	"ZNF233"
"protein_coding"	"ZNF112"
"protein_coding"	"ZNF285"
"protein_coding"	"ZNF229"
"protein_coding"	"ZNF180"
"protein_coding"	"CEACAM20"
"lncRNA"	"AC245748.3"
"protein_coding"	"IGSF23"
"lncRNA"	"AC243964.3"
"protein_coding"	"PVR"
"protein_coding"	"CEACAM19"
"protein_coding"	"CEACAM16"
"protein_coding"	"BCL3"
"protein_coding"	"CBLC"
"lncRNA"	"AC092306.1"
"protein_coding"	"BCAM"
"protein_coding"	"NECTIN2"
"lncRNA"	"AC011481.2"
"protein_coding"	"TOMM40"
"protein_coding"	"APOE"
"protein_coding"	"APOC1"
"protein_coding"	"APOC4"
"protein_coding"	"APOC2"
"lncRNA"	"AC011481.1"
"protein_coding"	"CLPTM1"
"protein_coding"	"RELB"
"protein_coding"	"CLASRP"
"protein_coding"	"ZNF296"
"lncRNA"	"GEMIN7-AS1"
"protein_coding"	"GEMIN7"
"protein_coding"	"MARK4"
"protein_coding"	"PPP1R37"
"lncRNA"	"AC005757.1"
"protein_coding"	"NKPD1"
"protein_coding"	"TRAPPC6A"
"protein_coding"	"BLOC1S3"
"protein_coding"	"EXOC3L2"
"protein_coding"	"CKM"
"protein_coding"	"KLC3"
"protein_coding"	"ERCC2"
"protein_coding"	"PPP1R13L"
"protein_coding"	"CD3EAP"
"protein_coding"	"ERCC1"
"protein_coding"	"FOSB"
"protein_coding"	"RTN2"
"protein_coding"	"PPM1N"
"protein_coding"	"VASP"
"protein_coding"	"OPA3"
"protein_coding"	"GPR4"
"protein_coding"	"EML2"
"lncRNA"	"EML2-AS1"
"protein_coding"	"GIPR"
"protein_coding"	"SNRPD2"
"protein_coding"	"QPCTL"
"protein_coding"	"FBXO46"
"protein_coding"	"BHMG1"
"protein_coding"	"SIX5"
"lncRNA"	"AC074212.1"
"lncRNA"	"DM1-AS"
"protein_coding"	"DMPK"
"protein_coding"	"DMWD"
"protein_coding"	"RSPH6A"
"protein_coding"	"SYMPK"
"lncRNA"	"AC092301.1"
"protein_coding"	"FOXA3"
"protein_coding"	"IRF2BP1"
"protein_coding"	"MYPOP"
"protein_coding"	"NANOS2"
"protein_coding"	"NOVA2"
"protein_coding"	"CCDC61"
"protein_coding"	"PGLYRP1"
"lncRNA"	"AC007785.3"
"protein_coding"	"IGFL4"
"lncRNA"	"AC007785.1"
"protein_coding"	"IGFL3"
"protein_coding"	"IGFL2"
"lncRNA"	"AC006262.2"
"lncRNA"	"IGFL2-AS1"
"lncRNA"	"AC006262.1"
"lncRNA"	"AC006262.3"
"protein_coding"	"IGFL1"
"protein_coding"	"HIF3A"
"lncRNA"	"AC007193.2"
"protein_coding"	"PPP5C"
"lncRNA"	"AC007193.1"
"lncRNA"	"AC007193.3"
"protein_coding"	"CCDC8"
"protein_coding"	"PNMA8C"
"protein_coding"	"PNMA8A"
"protein_coding"	"PPP5D1"
"protein_coding"	"PNMA8B"
"lncRNA"	"AC011484.1"
"lncRNA"	"AC093503.1"
"protein_coding"	"CALM3"
"lncRNA"	"AC093503.2"
"protein_coding"	"PTGIR"
"protein_coding"	"GNG8"
"protein_coding"	"DACT3"
"lncRNA"	"DACT3-AS1"
"protein_coding"	"PRKD2"
"protein_coding"	"STRN4"
"lncRNA"	"AC008635.1"
"protein_coding"	"FKRP"
"protein_coding"	"SLC1A5"
"lncRNA"	"AC008622.2"
"protein_coding"	"AP2S1"
"protein_coding"	"ARHGAP35"
"protein_coding"	"NPAS1"
"protein_coding"	"TMEM160"
"protein_coding"	"ZC3H4"
"protein_coding"	"SAE1"
"protein_coding"	"BBC3"
"lncRNA"	"AC008532.1"
"protein_coding"	"CCDC9"
"protein_coding"	"INAFM1"
"protein_coding"	"C5AR1"
"protein_coding"	"C5AR2"
"protein_coding"	"DHX34"
"protein_coding"	"MEIS3"
"protein_coding"	"SLC8A2"
"lncRNA"	"AC073548.2"
"protein_coding"	"KPTN"
"lncRNA"	"NAPA-AS1"
"protein_coding"	"NAPA"
"protein_coding"	"ZNF541"
"lncRNA"	"AC010519.1"
"lncRNA"	"AC010331.1"
"protein_coding"	"BICRA"
"lncRNA"	"BICRA-AS1"
"protein_coding"	"EHD2"
"protein_coding"	"NOP53"
"lncRNA"	"NOP53-AS1"
"protein_coding"	"SELENOW"
"protein_coding"	"TPRX1"
"protein_coding"	"CRX"
"lncRNA"	"LINC01595"
"protein_coding"	"SULT2A1"
"protein_coding"	"BSPH1"
"protein_coding"	"ELSPBP1"
"protein_coding"	"CABP5"
"protein_coding"	"PLA2G4C"
"lncRNA"	"PLA2G4C-AS1"
"protein_coding"	"LIG1"
"lncRNA"	"AC011466.3"
"lncRNA"	"AC011466.2"
"protein_coding"	"ZSWIM9"
"protein_coding"	"CARD8"
"lncRNA"	"AC011466.1"
"lncRNA"	"CARD8-AS1"
"lncRNA"	"ZNF114-AS1"
"protein_coding"	"ZNF114"
"protein_coding"	"CCDC114"
"protein_coding"	"EMP3"
"protein_coding"	"TMEM143"
"protein_coding"	"SYNGR4"
"protein_coding"	"KDELR1"
"protein_coding"	"GRIN2D"
"protein_coding"	"GRWD1"
"protein_coding"	"KCNJ14"
"lncRNA"	"AC008403.2"
"protein_coding"	"CYTH2"
"protein_coding"	"LMTK3"
"lncRNA"	"AC008403.3"
"protein_coding"	"SULT2B1"
"protein_coding"	"FAM83E"
"protein_coding"	"SPACA4"
"protein_coding"	"RPL18"
"lncRNA"	"AC022154.1"
"protein_coding"	"SPHK2"
"protein_coding"	"DBP"
"protein_coding"	"CA11"
"protein_coding"	"NTN5"
"protein_coding"	"FUT2"
"protein_coding"	"MAMSTR"
"protein_coding"	"RASIP1"
"protein_coding"	"IZUMO1"
"protein_coding"	"FUT1"
"protein_coding"	"FGF21"
"protein_coding"	"BCAT2"
"lncRNA"	"AC026803.3"
"protein_coding"	"HSD17B14"
"protein_coding"	"PLEKHA4"
"protein_coding"	"PPP1R15A"
"protein_coding"	"TULP2"
"protein_coding"	"NUCB1"
"lncRNA"	"NUCB1-AS1"
"lncRNA"	"AC026803.1"
"protein_coding"	"DHDH"
"protein_coding"	"BAX"
"lncRNA"	"AC026803.2"
"protein_coding"	"FTL"
"protein_coding"	"GYS1"
"protein_coding"	"RUVBL2"
"protein_coding"	"LHB"
"protein_coding"	"AC008687.4"
"protein_coding"	"CGB3"
"protein_coding"	"CGB2"
"protein_coding"	"CGB1"
"protein_coding"	"CGB5"
"protein_coding"	"CGB8"
"protein_coding"	"CGB7"
"lncRNA"	"AC008687.2"
"protein_coding"	"NTF4"
"lncRNA"	"AC008687.3"
"protein_coding"	"KCNA7"
"protein_coding"	"SNRNP70"
"protein_coding"	"LIN7B"
"protein_coding"	"C19orf73"
"protein_coding"	"PPFIA3"
"protein_coding"	"HRC"
"protein_coding"	"TRPM4"
"protein_coding"	"SLC6A16"
"lncRNA"	"AC011450.1"
"protein_coding"	"CD37"
"protein_coding"	"TEAD2"
"lncRNA"	"AC010524.1"
"protein_coding"	"DKKL1"
"lncRNA"	"AC010643.1"
"protein_coding"	"CCDC155"
"protein_coding"	"PTH2"
"protein_coding"	"GFY"
"protein_coding"	"SLC17A7"
"protein_coding"	"PIH1D1"
"protein_coding"	"ALDH16A1"
"protein_coding"	"FLT3LG"
"protein_coding"	"RPL13A"
"protein_coding"	"RPS11"
"protein_coding"	"FCGRT"
"protein_coding"	"RCN3"
"protein_coding"	"NOSIP"
"protein_coding"	"PRRG2"
"protein_coding"	"PRR12"
"lncRNA"	"AC011495.2"
"protein_coding"	"RRAS"
"protein_coding"	"SCAF1"
"protein_coding"	"IRF3"
"protein_coding"	"BCL2L12"
"protein_coding"	"PRMT1"
"protein_coding"	"ADM5"
"lncRNA"	"AC011495.3"
"protein_coding"	"CPT1C"
"protein_coding"	"TSKS"
"protein_coding"	"AP2A1"
"protein_coding"	"FUZ"
"lncRNA"	"AC006942.1"
"protein_coding"	"MED25"
"lncRNA"	"PTOV1-AS1"
"protein_coding"	"PTOV1"
"lncRNA"	"AC018766.1"
"lncRNA"	"PTOV1-AS2"
"protein_coding"	"PNKP"
"protein_coding"	"AKT1S1"
"protein_coding"	"TBC1D17"
"protein_coding"	"IL4I1"
"protein_coding"	"NUP62"
"protein_coding"	"ATF5"
"protein_coding"	"SIGLEC11"
"protein_coding"	"VRK3"
"protein_coding"	"ZNF473"
"lncRNA"	"AC010624.3"
"lncRNA"	"AC010624.1"
"lncRNA"	"AC010624.2"
"lncRNA"	"AC010624.5"
"protein_coding"	"IZUMO2"
"protein_coding"	"MYH14"
"lncRNA"	"AC008655.1"
"protein_coding"	"KCNC3"
"protein_coding"	"NR1H2"
"protein_coding"	"NAPSA"
"lncRNA"	"AC008655.2"
"protein_coding"	"POLD1"
"protein_coding"	"SPIB"
"protein_coding"	"MYBPC2"
"protein_coding"	"FAM71E1"
"protein_coding"	"EMC10"
"lncRNA"	"AC020909.3"
"lncRNA"	"AC020909.2"
"protein_coding"	"JOSD2"
"protein_coding"	"ASPDH"
"protein_coding"	"LRRC4B"
"lncRNA"	"AC008743.1"
"protein_coding"	"SYT3"
"protein_coding"	"C19orf81"
"protein_coding"	"SHANK1"
"protein_coding"	"CLEC11A"
"protein_coding"	"GPR32"
"protein_coding"	"AC010325.1"
"protein_coding"	"ACP4"
"lncRNA"	"AC010325.2"
"protein_coding"	"C19orf48"
"protein_coding"	"KLK1"
"protein_coding"	"KLK15"
"lncRNA"	"AC011523.1"
"protein_coding"	"KLK3"
"protein_coding"	"KLK2"
"protein_coding"	"KLK4"
"protein_coding"	"KLK5"
"lncRNA"	"AC011483.2"
"protein_coding"	"KLK6"
"lncRNA"	"AC011483.1"
"protein_coding"	"KLK7"
"protein_coding"	"KLK8"
"protein_coding"	"KLK9"
"protein_coding"	"KLK10"
"lncRNA"	"AC011473.2"
"protein_coding"	"KLK11"
"protein_coding"	"KLK12"
"lncRNA"	"AC011473.3"
"lncRNA"	"AC011473.1"
"protein_coding"	"KLK13"
"protein_coding"	"KLK14"
"protein_coding"	"CTU1"
"protein_coding"	"SIGLEC9"
"protein_coding"	"SIGLEC7"
"lncRNA"	"AC063977.6"
"protein_coding"	"CD33"
"protein_coding"	"SIGLECL1"
"lncRNA"	"AC063977.3"
"lncRNA"	"LINC01872"
"protein_coding"	"IGLON5"
"protein_coding"	"VSIG10L"
"lncRNA"	"AC008750.3"
"lncRNA"	"AC008750.4"
"protein_coding"	"ETFB"
"lncRNA"	"AC008750.5"
"protein_coding"	"CLDND2"
"protein_coding"	"NKG7"
"protein_coding"	"LIM2"
"protein_coding"	"C19orf84"
"lncRNA"	"AC008750.7"
"protein_coding"	"SIGLEC10"
"lncRNA"	"AC008750.1"
"lncRNA"	"AC008750.2"
"protein_coding"	"SIGLEC8"
"protein_coding"	"CEACAM18"
"protein_coding"	"SIGLEC12"
"protein_coding"	"SIGLEC6"
"lncRNA"	"AC020914.1"
"protein_coding"	"ZNF175"
"lncRNA"	"AC018755.1"
"protein_coding"	"SIGLEC5"
"lncRNA"	"AC018755.4"
"protein_coding"	"SIGLEC14"
"lncRNA"	"SPACA6P-AS"
"protein_coding"	"SPACA6"
"protein_coding"	"HAS1"
"protein_coding"	"FPR1"
"protein_coding"	"FPR2"
"lncRNA"	"AC018755.5"
"protein_coding"	"FPR3"
"protein_coding"	"ZNF577"
"lncRNA"	"AC006272.1"
"lncRNA"	"ZNF649-AS1"
"protein_coding"	"ZNF649"
"protein_coding"	"ZNF613"
"lncRNA"	"ZNF350-AS1"
"protein_coding"	"ZNF350"
"protein_coding"	"ZNF615"
"protein_coding"	"ZNF614"
"protein_coding"	"ZNF432"
"lncRNA"	"AC011468.5"
"lncRNA"	"AC011468.1"
"protein_coding"	"ZNF841"
"protein_coding"	"ZNF616"
"lncRNA"	"AC011468.3"
"protein_coding"	"ZNF836"
"lncRNA"	"AC010320.1"
"protein_coding"	"PPP2R1A"
"lncRNA"	"AC010320.2"
"protein_coding"	"ZNF766"
"lncRNA"	"AC010320.3"
"protein_coding"	"ZNF480"
"lncRNA"	"AC010320.4"
"protein_coding"	"ZNF610"
"protein_coding"	"ZNF880"
"lncRNA"	"ZNF528-AS1"
"protein_coding"	"ZNF528"
"protein_coding"	"ZNF534"
"protein_coding"	"ZNF578"
"lncRNA"	"AC010332.3"
"lncRNA"	"AC022150.3"
"protein_coding"	"ZNF808"
"protein_coding"	"ZNF701"
"lncRNA"	"AC022150.1"
"protein_coding"	"ZNF83"
"lncRNA"	"AC022150.2"
"lncRNA"	"AC022150.4"
"protein_coding"	"ZNF611"
"protein_coding"	"ZNF600"
"protein_coding"	"ZNF28"
"protein_coding"	"ZNF468"
"protein_coding"	"ZNF320"
"protein_coding"	"ZNF888"
"lncRNA"	"AC010487.2"
"protein_coding"	"ZNF816"
"lncRNA"	"AC010328.1"
"protein_coding"	"ERVV-1"
"protein_coding"	"ERVV-2"
"protein_coding"	"ZNF160"
"protein_coding"	"ZNF415"
"protein_coding"	"ZNF347"
"protein_coding"	"ZNF665"
"lncRNA"	"AC092070.1"
"protein_coding"	"ZNF677"
"lncRNA"	"AC092070.3"
"protein_coding"	"VN1R2"
"protein_coding"	"VN1R4"
"lncRNA"	"AC092070.4"
"protein_coding"	"ZNF845"
"protein_coding"	"ZNF525"
"protein_coding"	"ZNF765"
"lncRNA"	"AC022137.4"
"protein_coding"	"ZNF761"
"protein_coding"	"ZNF813"
"protein_coding"	"ZNF331"
"protein_coding"	"DPRX"
"lncRNA"	"AC011453.1"
"lncRNA"	"AC008753.3"
"lncRNA"	"AC008753.2"
"protein_coding"	"NLRP12"
"lncRNA"	"AC008440.1"
"protein_coding"	"MYADM"
"lncRNA"	"AC008440.2"
"protein_coding"	"PRKCG"
"protein_coding"	"CACNG7"
"protein_coding"	"CACNG8"
"protein_coding"	"CACNG6"
"protein_coding"	"VSTM1"
"protein_coding"	"TARM1"
"protein_coding"	"OSCAR"
"protein_coding"	"NDUFA3"
"protein_coding"	"TFPT"
"protein_coding"	"PRPF31"
"lncRNA"	"AC245052.4"
"protein_coding"	"CNOT3"
"protein_coding"	"LENG1"
"protein_coding"	"TMC4"
"protein_coding"	"MBOAT7"
"protein_coding"	"TSEN34"
"lncRNA"	"AC245052.1"
"protein_coding"	"RPS9"
"protein_coding"	"LILRB3"
"lncRNA"	"AC245052.7"
"protein_coding"	"LILRA6"
"protein_coding"	"LILRB5"
"protein_coding"	"LILRB2"
"protein_coding"	"LILRA5"
"protein_coding"	"LILRA4"
"protein_coding"	"LAIR1"
"protein_coding"	"TTYH1"
"lncRNA"	"AC245884.1"
"lncRNA"	"AC245884.9"
"lncRNA"	"AC245884.10"
"lncRNA"	"AC245884.8"
"lncRNA"	"LENG8-AS1"
"protein_coding"	"LENG8"
"protein_coding"	"LENG9"
"protein_coding"	"CDC42EP5"
"protein_coding"	"LAIR2"
"protein_coding"	"LILRA2"
"lncRNA"	"AC245036.5"
"protein_coding"	"LILRA1"
"protein_coding"	"LILRB1"
"lncRNA"	"LILRB1-AS1"
"protein_coding"	"LILRB4"
"protein_coding"	"KIR3DL3"
"protein_coding"	"KIR2DL3"
"protein_coding"	"KIR2DL1"
"protein_coding"	"KIR2DL4"
"protein_coding"	"KIR3DL1"
"protein_coding"	"KIR3DL2"
"protein_coding"	"FCAR"
"lncRNA"	"AC245128.3"
"protein_coding"	"NCR1"
"protein_coding"	"NLRP7"
"protein_coding"	"NLRP2"
"lncRNA"	"AC011476.3"
"protein_coding"	"GP6"
"protein_coding"	"RDH13"
"protein_coding"	"EPS8L1"
"protein_coding"	"PPP1R12C"
"lncRNA"	"AC010327.8"
"protein_coding"	"TNNT1"
"protein_coding"	"TNNI3"
"protein_coding"	"DNAAF3"
"lncRNA"	"AC010327.4"
"protein_coding"	"SYT5"
"protein_coding"	"PTPRH"
"lncRNA"	"AC010327.7"
"lncRNA"	"AC010327.5"
"protein_coding"	"TMEM86B"
"protein_coding"	"PPP6R1"
"protein_coding"	"HSPBP1"
"protein_coding"	"BRSK1"
"lncRNA"	"AC020922.2"
"protein_coding"	"TMEM150B"
"lncRNA"	"AC020922.4"
"protein_coding"	"KMT5C"
"protein_coding"	"COX6B2"
"protein_coding"	"FAM71E2"
"protein_coding"	"IL11"
"protein_coding"	"TMEM190"
"lncRNA"	"AC020922.3"
"protein_coding"	"TMEM238"
"protein_coding"	"RPL28"
"protein_coding"	"UBE2S"
"protein_coding"	"SHISA7"
"protein_coding"	"ISOC2"
"protein_coding"	"C19orf85"
"lncRNA"	"AC008735.3"
"protein_coding"	"ZNF628"
"protein_coding"	"NAT14"
"protein_coding"	"SSC5D"
"protein_coding"	"SBK2"
"protein_coding"	"SBK3"
"protein_coding"	"ZNF579"
"protein_coding"	"FIZ1"
"protein_coding"	"ZNF524"
"protein_coding"	"ZNF865"
"lncRNA"	"AC008735.4"
"protein_coding"	"ZNF784"
"protein_coding"	"ZNF580"
"protein_coding"	"ZNF581"
"protein_coding"	"CCDC106"
"protein_coding"	"U2AF2"
"lncRNA"	"AC008735.2"
"lncRNA"	"AC008735.1"
"protein_coding"	"EPN1"
"lncRNA"	"AC010525.1"
"protein_coding"	"NLRP9"
"protein_coding"	"RFPL4A"
"protein_coding"	"RFPL4AL1"
"protein_coding"	"NLRP11"
"protein_coding"	"NLRP4"
"protein_coding"	"NLRP13"
"protein_coding"	"NLRP8"
"protein_coding"	"NLRP5"
"lncRNA"	"LINC01864"
"protein_coding"	"ZNF787"
"protein_coding"	"ZNF444"
"protein_coding"	"GALP"
"protein_coding"	"ZSCAN5B"
"protein_coding"	"ZSCAN5C"
"protein_coding"	"ZSCAN5A"
"protein_coding"	"EDDM13"
"lncRNA"	"AC006116.5"
"lncRNA"	"AC006116.8"
"lncRNA"	"AC006116.6"
"lncRNA"	"AC006116.9"
"protein_coding"	"ZNF582"
"lncRNA"	"AC006116.10"
"lncRNA"	"AC006116.11"
"lncRNA"	"AC006116.4"
"lncRNA"	"ZNF582-AS1"
"protein_coding"	"ZNF583"
"protein_coding"	"ZNF667"
"lncRNA"	"ZNF667-AS1"
"protein_coding"	"ZNF471"
"lncRNA"	"AC005498.1"
"lncRNA"	"AC005498.2"
"protein_coding"	"ZFP28"
"lncRNA"	"AC005498.3"
"protein_coding"	"ZNF470"
"protein_coding"	"ZNF71"
"protein_coding"	"SMIM17"
"protein_coding"	"ZNF835"
"lncRNA"	"AC006115.2"
"protein_coding"	"ZIM2"
"protein_coding"	"PEG3"
"lncRNA"	"MIMT1"
"protein_coding"	"USP29"
"protein_coding"	"ZIM3"
"protein_coding"	"DUXA"
"protein_coding"	"ZNF264"
"protein_coding"	"AURKC"
"protein_coding"	"ZNF805"
"lncRNA"	"AC005261.3"
"lncRNA"	"ZNF460-AS1"
"protein_coding"	"ZNF460"
"lncRNA"	"AC005261.1"
"protein_coding"	"ZNF543"
"lncRNA"	"AC005261.2"
"protein_coding"	"ZNF304"
"protein_coding"	"ZNF547"
"protein_coding"	"TRAPPC2B"
"protein_coding"	"ZNF548"
"protein_coding"	"ZNF17"
"protein_coding"	"ZNF749"
"lncRNA"	"AC004076.2"
"protein_coding"	"VN1R1"
"protein_coding"	"ZNF772"
"lncRNA"	"AC003005.2"
"protein_coding"	"ZNF419"
"protein_coding"	"ZNF773"
"protein_coding"	"ZNF549"
"protein_coding"	"ZNF550"
"protein_coding"	"ZNF416"
"protein_coding"	"ZIK1"
"protein_coding"	"ZNF530"
"protein_coding"	"ZNF134"
"lncRNA"	"AC003682.1"
"protein_coding"	"ZNF211"
"protein_coding"	"ZSCAN4"
"protein_coding"	"ZNF551"
"protein_coding"	"ZNF154"
"protein_coding"	"ZNF671"
"protein_coding"	"ZNF776"
"protein_coding"	"ZNF586"
"protein_coding"	"ZNF552"
"protein_coding"	"ZNF587B"
"protein_coding"	"ZNF814"
"protein_coding"	"ZNF587"
"lncRNA"	"AC010326.3"
"protein_coding"	"ZNF417"
"protein_coding"	"ZNF418"
"protein_coding"	"ZNF256"
"protein_coding"	"C19orf18"
"protein_coding"	"ZNF606"
"lncRNA"	"AC008969.1"
"lncRNA"	"AC008969.2"
"protein_coding"	"ZSCAN1"
"protein_coding"	"ZNF135"
"protein_coding"	"ZSCAN18"
"protein_coding"	"ZNF329"
"lncRNA"	"AC008751.3"
"protein_coding"	"ZNF274"
"protein_coding"	"ZNF544"
"lncRNA"	"AC020915.2"
"lncRNA"	"AC020915.1"
"protein_coding"	"ZNF8"
"protein_coding"	"ERVK3-1"
"lncRNA"	"AC010642.2"
"protein_coding"	"ZSCAN22"
"protein_coding"	"A1BG"
"lncRNA"	"A1BG-AS1"
"protein_coding"	"ZNF497"
"lncRNA"	"AC012313.2"
"lncRNA"	"AC012313.6"
"protein_coding"	"ZNF837"
"protein_coding"	"RPS5"
"protein_coding"	"RNF225"
"lncRNA"	"LINC02560"
"protein_coding"	"ZNF584"
"lncRNA"	"AC012313.1"
"lncRNA"	"AC012313.5"
"protein_coding"	"ZNF132"
"lncRNA"	"AC012313.8"
"protein_coding"	"ZNF324B"
"protein_coding"	"ZNF324"
"protein_coding"	"ZNF446"
"lncRNA"	"AC012313.7"
"protein_coding"	"SLC27A5"
"lncRNA"	"AC012313.9"
"protein_coding"	"ZBTB45"
"protein_coding"	"TRIM28"
"protein_coding"	"CHMP2A"
"protein_coding"	"UBE2M"
"lncRNA"	"MZF1-AS1"
"protein_coding"	"MZF1"
"lncRNA"	"AC016629.2"
"protein_coding"	"DEFB125"
"protein_coding"	"DEFB126"
"protein_coding"	"DEFB127"
"protein_coding"	"DEFB128"
"protein_coding"	"DEFB129"
"protein_coding"	"DEFB132"
"lncRNA"	"AL034548.1"
"protein_coding"	"C20orf96"
"protein_coding"	"ZCCHC3"
"lncRNA"	"AL034548.2"
"lncRNA"	"NRSN2-AS1"
"protein_coding"	"SOX12"
"protein_coding"	"NRSN2"
"protein_coding"	"TRIB3"
"protein_coding"	"RBCK1"
"protein_coding"	"TBC1D20"
"protein_coding"	"CSNK2A1"
"protein_coding"	"TCF15"
"protein_coding"	"SRXN1"
"protein_coding"	"SCRT2"
"protein_coding"	"SLC52A3"
"protein_coding"	"FAM110A"
"protein_coding"	"ANGPT4"
"protein_coding"	"RSPO4"
"lncRNA"	"AL110114.1"
"protein_coding"	"PSMF1"
"protein_coding"	"TMEM74B"
"protein_coding"	"C20orf202"
"protein_coding"	"RAD21L1"
"protein_coding"	"SNPH"
"protein_coding"	"SDCBP2"
"lncRNA"	"SDCBP2-AS1"
"lncRNA"	"AL136531.1"
"protein_coding"	"FKBP1A"
"protein_coding"	"NSFL1C"
"protein_coding"	"SIRPB2"
"protein_coding"	"SIRPD"
"protein_coding"	"SIRPB1"
"protein_coding"	"SIRPG"
"lncRNA"	"SIRPG-AS1"
"lncRNA"	"AL109809.5"
"lncRNA"	"AL117335.1"
"protein_coding"	"SIRPA"
"lncRNA"	"PDYN-AS1"
"protein_coding"	"PDYN"
"protein_coding"	"STK35"
"lncRNA"	"AL359916.1"
"lncRNA"	"AL121899.3"
"lncRNA"	"AL121899.4"
"lncRNA"	"AL121899.1"
"protein_coding"	"TGM3"
"protein_coding"	"TGM6"
"protein_coding"	"SNRPB"
"protein_coding"	"ZNF343"
"protein_coding"	"TMC2"
"protein_coding"	"NOP56"
"protein_coding"	"IDH3B"
"lncRNA"	"AL049712.1"
"protein_coding"	"EBF4"
"protein_coding"	"CPXM1"
"protein_coding"	"C20orf141"
"protein_coding"	"TMEM239"
"protein_coding"	"PCED1A"
"protein_coding"	"VPS16"
"protein_coding"	"PTPRA"
"protein_coding"	"GNRH2"
"protein_coding"	"MRPS26"
"protein_coding"	"OXT"
"protein_coding"	"AVP"
"lncRNA"	"UBOX5-AS1"
"protein_coding"	"UBOX5"
"protein_coding"	"FASTKD5"
"protein_coding"	"LZTS3"
"protein_coding"	"DDRGK1"
"protein_coding"	"ITPA"
"protein_coding"	"SLC4A11"
"lncRNA"	"AL109976.1"
"protein_coding"	"C20orf194"
"protein_coding"	"ATRN"
"protein_coding"	"GFRA4"
"protein_coding"	"ADAM33"
"protein_coding"	"SIGLEC1"
"protein_coding"	"HSPA12B"
"protein_coding"	"C20orf27"
"protein_coding"	"SPEF1"
"protein_coding"	"CENPB"
"protein_coding"	"CDC25B"
"lncRNA"	"LINC01730"
"protein_coding"	"AP5S1"
"protein_coding"	"MAVS"
"lncRNA"	"AL353194.1"
"protein_coding"	"PANK2"
"lncRNA"	"AL031670.1"
"protein_coding"	"RNF24"
"lncRNA"	"AL356414.1"
"protein_coding"	"SMOX"
"lncRNA"	"LINC01433"
"protein_coding"	"ADRA1D"
"lncRNA"	"AL139350.1"
"lncRNA"	"AL121781.1"
"protein_coding"	"PRNP"
"protein_coding"	"PRND"
"lncRNA"	"PRNT"
"lncRNA"	"AL133396.2"
"protein_coding"	"RASSF2"
"protein_coding"	"SLC23A2"
"lncRNA"	"AL121890.3"
"lncRNA"	"AL121890.2"
"lncRNA"	"AL121890.5"
"lncRNA"	"AL121890.4"
"protein_coding"	"TMEM230"
"protein_coding"	"PCNA"
"protein_coding"	"CDS2"
"protein_coding"	"PROKR2"
"lncRNA"	"AL121757.2"
"lncRNA"	"AL121757.3"
"lncRNA"	"LINC00658"
"lncRNA"	"AL121757.1"
"lncRNA"	"LINC00654"
"lncRNA"	"LINC01729"
"lncRNA"	"AL109935.1"
"protein_coding"	"GPCPD1"
"protein_coding"	"SHLD1"
"protein_coding"	"CHGB"
"protein_coding"	"TRMT6"
"protein_coding"	"MCM8"
"lncRNA"	"MCM8-AS1"
"lncRNA"	"AL035461.2"
"protein_coding"	"CRLS1"
"protein_coding"	"LRRN4"
"lncRNA"	"AL118505.1"
"protein_coding"	"FERMT1"
"lncRNA"	"CASC20"
"lncRNA"	"LINC01713"
"protein_coding"	"BMP2"
"lncRNA"	"AL096799.1"
"lncRNA"	"LINC01428"
"lncRNA"	"AL080248.1"
"lncRNA"	"LINC01751"
"lncRNA"	"LINC01706"
"protein_coding"	"HAO1"
"protein_coding"	"TMX4"
"lncRNA"	"AL021396.1"
"protein_coding"	"PLCB1"
"lncRNA"	"PLCB1-IT1"
"protein_coding"	"PLCB4"
"lncRNA"	"LAMP5-AS1"
"protein_coding"	"LAMP5"
"protein_coding"	"PAK5"
"lncRNA"	"AL353612.2"
"lncRNA"	"AL353612.1"
"lncRNA"	"AL034427.1"
"lncRNA"	"PARAL1"
"protein_coding"	"ANKEF1"
